#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"mitochondrion MT","NC_009797.1",1988,14689,"+",5580402,"ND5","-","YP_001456703.1",612,"NADH dehydrogenase subunit 5 (mitochondrion)"
"mitochondrion MT","NC_009797.1",2823,3800,"-",5580403,"ND1","-","YP_001456704.1",325,"NADH dehydrogenase subunit 1 (mitochondrion)"
"mitochondrion MT","NC_009797.1",3852,4991,"-",5580401,"CYTB","-","YP_001456705.1",379,"cytochrome b (mitochondrion)"
"mitochondrion MT","NC_009797.1",4996,6303,"-",5580395,"ND2","-","YP_001456706.1",435,"NADH dehydrogenase subunit 2 (mitochondrion)"
"mitochondrion MT","NC_009797.1",6305,6868,"+",5580404,"ND6","-","YP_001456707.1",187,"NADH dehydrogenase subunit 6 (mitochondrion)"
"mitochondrion MT","NC_009797.1",6868,7545,"+",5580396,"ATP6","-","YP_001456708.1",225,"ATP synthase F0 subunit 6 (mitochondrion)"
"mitochondrion MT","NC_009797.1",8891,10381,"-",5580405,"ND4","-","YP_001456710.1",496,"NADH dehydrogenase subunit 4 (mitochondrion)"
"mitochondrion MT","NC_009797.1",11291,12070,"+",5580398,"COX3","-","YP_001456711.1",259,"cytochrome c oxidase subunit III (mitochondrion)"
"mitochondrion MT","NC_009797.1",12082,12882,"+",5580397,"COX2","-","YP_001456712.1",266,"cytochrome c oxidase subunit II (mitochondrion)"
"mitochondrion MT","NC_009797.1",12864,13163,"-",5580399,"ND4L","-","YP_001456713.1",99,"NADH dehydrogenase subunit 4L (mitochondrion)"
"mitochondrion MT","NC_009797.1",13163,13507,"-",5580394,"ND3","-","YP_001456714.1",114,"NADH dehydrogenase subunit 3 (mitochondrion)"
"mitochondrion MT","NC_009797.1",14773,14985,"+",5580400,"ATP8","-","YP_001456715.1",70,"ATP synthase F0 subunit 8 (mitochondrion)"
"mitochondrion MT","NC_009797.1",15829,17388,"+",5580393,"COX1","-","YP_001456716.1",519,"cytochrome c oxidase subunit I (mitochondrion)"
"Un","NW_020843366.1",1325,1943,"+",113673859,"LOC113673859","-","XP_027049641.1",205,"protein ALP1-like, partial"
"Un","NW_020843367.1",131,3240,"-",113668373,"LOC113668373","-","XP_027040096.1",213,"ancient ubiquitous protein 1 homolog, partial"
"Un","NW_020843367.1",3564,9006,"+",113667069,"LOC113667069","-","XP_027038702.1",279,"ancient ubiquitous protein 1-like"
"Un","NW_020843367.1",11645,15942,"-",113670418,"LOC113670418","-","XP_027042395.1",459,"L-seryl-tRNA(Sec) kinase-like"
"Un","NW_020843367.1",16044,17011,"+",113666499,"LOC113666499","-","XP_027038121.1",89,"V-type proton ATPase subunit e-like"
"Un","NW_020843367.1",21616,24738,"-",113666399,"LOC113666399","-","XP_027038016.1",301,"uncharacterized protein LOC113666399"
"Un","NW_020843367.1",28809,36801,"-",113670712,"LOC113670712","-","XP_027042728.1",408,"solute carrier family 49 member A3-like"
"Un","NW_020843367.1",36966,49018,"+",113670806,"LOC113670806","-","XP_027042830.1",382,"LOW QUALITY PROTEIN: STAGA complex 65 subunit gamma-like"
"Un","NW_020843367.1",51177,56525,"+",113668840,"LOC113668840","-","XP_027040630.1",565,"nucleolar protein 56-like"
"Un","NW_020843367.1",57880,62711,"+",113670613,"LOC113670613","-","XP_027042619.1",310,"fumarylacetoacetate hydrolase domain-containing protein 2-like"
"Un","NW_020843367.1",74678,78088,"-",113665099,"LOC113665099","-","XP_027036909.1",333,"serine/threonine-protein kinase pim-1-like"
"Un","NW_020843367.1",81678,94333,"-",113668074,"LOC113668074","-","XP_027039789.1",794,"transient receptor potential cation channel subfamily V member 5-like"
"Un","NW_020843367.1",96003,97454,"-",113666803,"LOC113666803","-","XP_027038432.1",483,"beta-1,4-galactosyltransferase galt-1-like isoform X1"
"Un","NW_020843367.1",96109,97454,"-",113666803,"LOC113666803","-","XP_027038505.1",418,"beta-1,4-galactosyltransferase galt-1-like isoform X2"
"Un","NW_020843367.1",100787,111958,"-",113666701,"LOC113666701","-","XP_027038326.1",571,"shootin-1-like"
"Un","NW_020843367.1",118731,119429,"+",113668672,"LOC113668672","-","XP_027040457.1",232,"nanos homolog 1-like"
"Un","NW_020843367.1",125906,140140,"-",113686527,"LOC113686527","-","XP_027060065.1",472,"synaptic vesicular amine transporter-like isoform X2"
"Un","NW_020843367.1",125906,140140,"-",113686527,"LOC113686527","-","XP_027059994.1",480,"synaptic vesicular amine transporter-like isoform X1"
"Un","NW_020843367.1",125906,138562,"-",113686527,"LOC113686527","-","XP_027060284.1",384,"synaptic vesicular amine transporter-like isoform X5"
"Un","NW_020843367.1",127728,140140,"-",113686527,"LOC113686527","-","XP_027060134.1",425,"synaptic vesicular amine transporter-like isoform X3"
"Un","NW_020843367.1",131238,140140,"-",113686527,"LOC113686527","-","XP_027060212.1",393,"synaptic vesicular amine transporter-like isoform X4"
"Un","NW_020843367.1",146291,150487,"+",113665166,"LOC113665166","-","XP_027036664.1",1163,"uncharacterized protein LOC113665166"
"Un","NW_020843367.1",151989,178373,"+",113665260,"LOC113665260","-","XP_027036768.1",2629,"uncharacterized protein LOC113665260"
"Un","NW_020843367.1",180044,188356,"+",113669509,"LOC113669509","-","XP_027041397.1",651,"protein regulator of cytokinesis 1-like"
"Un","NW_020843367.1",192948,200209,"-",113666967,"LOC113666967","-","XP_027038595.1",400,"serine/threonine-protein kinase 32B-like"
"Un","NW_020843367.1",200854,214122,"+",113666070,"LOC113666070","-","XP_027037979.1",802,"nucleolar protein 14-like"
"Un","NW_020843367.1",215321,219104,"+",113667174,"LOC113667174","-","XP_027038803.1",278,"sorting nexin-10B-like isoform X1"
"Un","NW_020843367.1",216953,219104,"+",113667174,"LOC113667174","-","XP_027038880.1",231,"sorting nexin-10B-like isoform X2"
"Un","NW_020843367.1",221287,223684,"-",113685178,"LOC113685178","-","XP_027058816.1",148,"nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3-like isoform X1"
"Un","NW_020843367.1",221397,223684,"-",113685178,"LOC113685178","-","XP_027059533.1",117,"nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3-like isoform X2"
"Un","NW_020843367.1",224630,231418,"+",113667068,"LOC113667068","-","XP_027039016.1",301,"casein kinase I-like"
"Un","NW_020843367.1",234304,234834,"+",113684240,"LOC113684240","-","XP_027057746.1",176,"uncharacterized protein LOC113684240"
"Un","NW_020843367.1",237216,246575,"-",113686876,"LOC113686876","-","XP_027060393.1",359,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial-like isoform X1"
"Un","NW_020843367.1",237216,241059,"-",113686876,"LOC113686876","-","XP_027060462.1",246,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial-like isoform X2"
"Un","NW_020843367.1",237216,241059,"-",113686876,"LOC113686876","-","XP_027060537.1",246,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial-like isoform X2"
"Un","NW_020843367.1",248587,262623,"+",113687102,"LOC113687102","-","XP_027035609.1",195,"fibroblast growth factor 1-like isoform X3"
